yearmo;SENT;SENT_ORTH;pdnd;ripo;nipo;cefd;s;indpro;consdur;consnon;consserv;recess;employ;cpi
197211;-0.491;-1.091;23.93000031;8.199999809;40;17.10000038;0.310000002;43.27949905;123.4000015;267.8999939;409.2000122;0;74973;42.40000153
197212;-0.364;-0.913;20.45999908;-1.399999976;40;16.01000023;0.310000002;43.76950073;124.8000031;268.6000061;412.7000122;0;75268;42.5
197301;-0.409;-0.698;22.87000084;0.100000001;31;19.23999977;0.319999993;44.08470154;129.3000031;272.5;414.7000122;0;75617;42.59999847
197302;-0.205;-0.491;25.52000046;-0.800000012;21;14.31999969;0.340000004;44.7242012;131.8999939;276.2000122;417.7000122;0;76014;42.90000153
197303;-0.221;-0.400;26.57999992;-4.800000191;9;13.30000019;0.349999994;44.74349976;134.3000031;277.6000061;420.7999878;0;76284;43.29999924
197304;-0.340;-0.463;26.88999939;9.699999809;8;11.93999958;0.360000014;44.67819977;132.5;279.3999939;423.8999939;0;76455;43.59999847
197305;-0.575;-0.807;29.60000038;-5.099999905;8;14.52000046;0.360000014;44.97409821;133.3000031;280.7000122;427.6000061;0;76648;43.90000153
197306;-0.772;-0.876;31.62999916;-5;2;16.05999947;0.340000004;45.02569962;128.1000061;284.1000061;432.1000061;0;76887;44.20000076
197307;-0.893;-1.059;28.12000084;-2.900000095;1;16.26000023;0.340000004;45.19520187;130.1000061;289.8999939;434.1000061;0;76913;44.29999924
197308;-1.049;-1.068;27.30999947;2.700000048;6;17.04000092;0.340000004;45.13079834;128.6000061;287.5;437.2000122;0;77168;45.09999847
197309;-1.133;-1.139;25.81999969;18.89999962;5;17.29000092;0.330000013;45.48619843;133.6999969;292.2999878;443.2000122;0;77276;45.20000076
197310;-1.284;-1.225;25.40999985;-10.30000019;9;18.37999916;0.319999993;45.85309982;129.3000031;293.3999939;445.5;0;77607;45.59999847
197311;-1.526;-1.426;27.79999924;1.700000048;5;21.95999908;0.330000013;46.06539917;129.1000061;299.1000061;448.7000122;0;77920;45.90000153
197312;-1.282;-1.242;28.23999977;;0;16.47999954;0.330000013;45.93439865;126.3000031;300.6000061;449.7999878;1;78031;46.20000076
197401;-1.188;-1.446;25.32999992;;0;11;0.300000012;45.62979889;126.6999969;305;452.7999878;1;78100;46.59999847
197402;-1.417;-1.650;24.85000038;6.199999809;5;13.07999992;0.289999992;45.49509811;124.8000031;309.2999878;455.6000061;1;78254;47.20000076
197403;-1.443;-1.691;24.60000038;-12.5;2;11.30000019;0.25999999;45.49520111;128.5;312.2999878;460.7000122;1;78296;47.79999924
197404;-1.697;-1.985;20.40999985;;0;15.67000008;0.25999999;45.36249924;129;315.2000122;466.5;1;78382;48
197405;-1.795;-2.021;20.39999962;;0;15.39999962;0.230000004;45.72409821;132;318.6000061;471.8999939;1;78549;48.59999847
197406;-1.827;-1.986;22.51000023;0;2;14.35999966;0.230000004;45.63899994;130.8000031;320.2000122;477;1;78604;49
197407;-1.847;-1.989;20.56999969;;0;17;0.219999999;45.71929932;133.3999939;324.3999939;480.2000122;1;78636;49.40000153
197408;-2.075;-2.311;17.98999977;;0;20.62999916;0.209999993;45.2356987;140.8999939;328.7000122;485.2000122;1;78619;50
197409;-1.822;-1.956;15.47999954;;0;15.25;0.209999993;45.24209976;134.6999969;329.8999939;490.5;1;78610;50.59999847
197410;-2.133;-2.195;20.18000031;;0;22.19000053;0.200000003;45.10110092;131;331.5;496.7000122;1;78630;51.09999847
197411;-2.361;-2.305;18.56999969;;0;24.23999977;0.170000002;43.61579895;125.4000015;331.5;499.2999878;1;78265;51.5
197412;-2.034;-1.957;19.53000069;;0;16.65999985;0.159999996;42.05530167;125;329.7000122;507.1000061;1;77652;51.90000153
197501;-1.848;-1.798;19.25;-1.399999976;1;14.25;0.159999996;41.47499847;129.5;334.3999939;511.6000061;1;77293;52.09999847
197502;-2.021;-2.047;20.36000061;5;1;18.59000015;0.150000006;40.52899933;134.8000031;336.1000061;518.5;1;76918;52.5
197503;-2.044;-2.036;20.03000069;;0;19.44000053;0.150000006;40.07960129;131;338.1000061;521.4000244;1;76648;52.70000076
197504;-2.056;-1.960;15.68000031;;0;21.45000076;0.150000006;40.15269852;132;336.2000122;526.7999878;0;76460;52.90000153
197505;-2.060;-1.676;16.10000038;;0;22.40999985;0.170000002;40.03990173;138.1000061;348.7999878;532;0;76624;53.20000076
197506;-2.069;-1.791;15.64000034;-0.800000012;2;21.45999908;0.170000002;40.29869843;140;349.5;537.2999878;0;76521;53.59999847
197507;-1.913;-1.651;14.35999966;9.100000381;1;19.25;0.170000002;40.70940018;145;353.6000061;541.2000122;0;76770;54.20000076
197508;-1.924;-1.793;14.85999966;-4.099999905;1;21.07999992;0.180000007;41.10979843;145.3999939;357.3999939;544.0999756;0;77153;54.29999924
197509;-1.962;-1.828;14.14000034;-7.099999905;3;21.46999931;0.180000007;41.63800049;149.8999939;356.7999878;548.0999756;0;77228;54.59999847
197510;-1.859;-1.781;16.29999924;-0.100000001;3;18.81999969;0.189999998;41.81710052;148;355.7000122;557.0999756;0;77540;54.90000153
197511;-1.922;-2.008;17.05999947;0;1;21.22999954;0.200000003;41.87639999;153.1999969;360.3999939;562.0999756;0;77685;55.29999924
197512;-1.961;-2.225;16.70999908;-8.800000191;1;21.53000069;0.200000003;42.44839859;158.8999939;362.8999939;570.2999878;0;78017;55.5
197601;-1.806;-2.130;16.95999908;5.099999905;6;18.40999985;0.209999993;43.01490021;161.1999969;369.2999878;576.7000122;0;78503;55.59999847
