Date;Stocks;Return
1911.03;2,308.99;-0.017960888
1911.04;2,384.06;0.032512051
1911.05;2,445.51;0.025775358
1911.06;2,504.62;0.024170827
1911.07;2,477.50;-0.01082799
1911.08;2,295.18;-0.073590313
1911.09;2,157.38;-0.060038864
1911.1;2,179.56;0.010280989
1911.11;2,300.54;0.055506616
1911.12;2,345.05;0.019347631
1912.01;2,333.16;-0.005070254
1912.02;2,298.82;-0.014718236
1912.03;2,326.96;0.012241063
1912.04;2,338.53;0.004972153
1912.05;2,345.73;0.003078857
1912.06;2,378.74;0.014072378
1912.07;2,391.07;0.005183416
1912.08;2,431.75;0.017013304
1912.09;2,430.18;-0.000645626
1912.1;2,435.07;0.002012197
1912.11;2,417.73;-0.007120945
1912.12;2,363.65;-0.022368089
1913.01;2,330.72;-0.013931843
1913.02;2,258.04;-0.031183497
1913.03;2,225.32;-0.014490443
1913.04;2,232.90;0.003406252
1913.05;2,204.59;-0.012678579
1913.06;2,082.56;-0.055352696
1913.07;2,099.61;0.008187039
1913.08;2,165.94;0.031591581
1913.09;2,174.73;0.004058284
1913.1;2,116.09;-0.026964267
1913.11;2,052.02;-0.03027754
1913.12;2,080.27;0.013766922
1914.01;2,175.89;0.045965187
1914.02;2,237.04;0.028103443
1914.03;2,205.05;-0.014300147
1914.04;2,184.27;-0.009423823
1914.05;2,185.62;0.000618055
1914.06;2,184.95;-0.000306549
1914.07;2,053.24;-0.060280556
1914.08;2,022.59;-0.014927627
1914.09;2,032.13;0.004716725
1914.1;2,061.83;0.014615207
1914.11;2,051.03;-0.005238065
1914.12;1,991.78;-0.028887925
1915.01;2,036.51;0.0224573
1915.02;2,039.04;0.001242321
1915.03;2,122.48;0.040921218
1915.04;2,269.27;0.069159662
1915.05;2,204.12;-0.028709673
1915.06;2,238.89;0.015775003
1915.07;2,240.41;0.000678908
1915.08;2,345.46;0.046888739
1915.09;2,442.54;0.041390601
1915.1;2,562.62;0.049161938
1915.11;2,636.52;0.028837674
1915.12;2,652.08;0.005901719
1916.01;2,595.20;-0.021447317
1916.02;2,569.51;-0.009899044
1916.03;2,547.40;-0.008604753
1916.04;2,506.70;-0.015977075
1916.05;2,549.08;0.01690669
1916.06;2,561.24;0.004770349
1916.07;2,537.20;-0.009386079
1916.08;2,544.71;0.002959956
1916.09;2,612.78;0.02674961
1916.1;2,657.97;0.017295754
1916.11;2,683.91;0.009759328
1916.12;2,566.09;-0.04389864
1917.01;2,496.79;-0.027006068
1917.02;2,309.34;-0.075076398
1917.03;2,393.58;0.036477955
1917.04;2,257.63;-0.056797767
1917.05;2,159.63;-0.043408353
1917.06;2,182.10;0.01040456
1917.07;2,167.90;-0.006507493
1917.08;2,084.49;-0.038475022
1917.09;1,952.63;-0.063257679
1917.1;1,832.66;-0.061440211
1917.11;1,693.44;-0.075966082
1917.12;1,625.46;-0.040143141
1918.01;1,699.79;0.045728594
1918.02;1,752.30;0.030892051
1918.03;1,742.26;-0.005729613
1918.04;1,713.98;-0.016231791
1918.05;1,744.48;0.01779484
