Date;Value Returns;Momentum Returns;Value-Momentum Spread;Value 12M Returns;Momentum 12M Returns;Value-Momentum 12M Spread;Value 36M Returns;Momentum 36M Returns;Value-Momentum 36M Spread;Rolling Value Mean;Rolling Momentum Mean;Rolling Mean Difference;Value Volatility;Momentum Volatility;Volatility Difference;Value Skewness;Momentum Skewness;Skewness Difference;Value Excess Curtosis;Momentum Excess Kurtosis;Kurtosis Difference;Correlation;Value Drawdown;Momentum Drawdown;Drawdown Difference;Regime;;
31.08.1931;-0.031176121;0.003110339;-0.03428646;0.053013964;0.053183483;-0.000169519;0.00516181;0.186439956;-0.181278145;0.004467463;0.004850914;-0.000383451;0.018336787;0.033529927;-0.01519314;0.006462126;-1.029304842;1.035766968;1.028634828;1.800162657;-0.771527829;-0.496596838;-0.150448777;-0.027492571;-0.122956206;1;;
30.09.1931;-0.00479877;0.044892262;-0.049691032;0.042358927;0.051226768;-0.008867841;-0.001181088;0.229774824;-0.230955912;0.003619714;0.004688837;-0.001069124;0.018525246;0.033312519;-0.014787274;0.157469833;-1.061042801;1.218512634;0.8554844;1.855155843;-0.999671443;-0.555261361;-0.154525578;0;-0.154525578;1;;
30.10.1931;0.015943198;-0.051270528;0.067213726;0.040869741;-0.009069247;0.049938989;0.027411085;0.15485594;-0.127444855;0.003498587;-0.000121843;0.003620429;0.01843149;0.036998248;-0.018566757;0.170591712;-0.680982359;0.851574071;0.944047374;-0.026682998;0.970730372;-0.598603747;-0.141046012;-0.051270528;-0.089775484;0;;
30.11.1931;-0.031174227;0.019605219;-0.050779446;0.016541667;0.018150635;-0.001608968;-0.009897779;0.145647573;-0.155545353;0.001566409;0.002149722;-0.000583312;0.020807295;0.037329106;-0.016521812;-0.032513002;-0.865402325;0.832889323;0.12443128;0.110905574;0.013525706;-0.609572283;-0.167823238;-0.032670479;-0.135152759;1;;
31.12.1931;-0.033096842;0.015445787;-0.048542629;-0.008099632;0.012638838;-0.02073847;-0.035076848;0.149173863;-0.184250711;-0.000435283;0.001689132;-0.002124415;0.022967499;0.037109191;-0.014141693;-0.073722207;-0.845413703;0.771691496;-0.538574953;0.139956975;-0.678531929;-0.584482844;-0.195365661;-0.017729314;-0.177636348;1;;
29.01.1932;0.062092929;-0.038492811;0.10058574;0.038453591;-0.003899389;0.04235298;0.06165121;0.070413435;-0.008762225;0.003532464;0.000358809;0.003173655;0.029078206;0.038322613;-0.009244408;0.539111392;-0.740819465;1.279930857;0.065808109;-0.35982304;0.425631149;-0.617372771;-0.145403559;-0.055539674;-0.089863885;0;;
29.02.1932;0.010709678;0.00777024;0.002939438;0.034059062;0.022843656;0.011215406;0.065969766;0.076156105;-0.010186338;0.003174522;0.002554554;0.000619968;0.0289503;0.037891345;-0.008941044;0.585674699;-0.96083793;1.546512629;0.17568904;0.087452988;0.088236052;-0.603963166;-0.136251106;-0.04820099;-0.088050116;0;;
31.03.1932;-0.01907317;0.035095749;-0.054168919;0.006167258;0.049925408;-0.04375815;0.047057878;0.114525064;-0.067467186;0.000908513;0.00477949;-0.003870978;0.029585337;0.03903226;-0.009446924;0.778187127;-1.021623211;1.799810338;0.159342326;0.005068555;0.154273771;-0.628229031;-0.152725536;-0.014796891;-0.137928645;1;;
29.04.1932;-0.032530551;0.034021783;-0.066552334;-0.026888066;0.053227453;-0.080115519;0.015523755;0.151048054;-0.135524299;-0.001830126;0.005049643;-0.006879769;0.03112446;0.039239246;-0.008114786;0.850728875;-1.016913767;1.867642642;-0.048658239;-0.021285116;-0.027373124;-0.665024652;-0.180287841;0;-0.180287841;1;;
31.05.1932;-0.005154284;0.070618627;-0.075772912;-0.020146341;0.108293273;-0.128439615;0.001646109;0.225004772;-0.223358662;-0.001259719;0.009482472;-0.010742191;0.030983556;0.04353395;-0.012550394;0.799826364;-0.742388543;1.542214907;-0.066087211;-0.246613878;0.180526667;-0.610398406;-0.184512871;0;-0.184512871;1;;
30.06.1932;0.056089987;-0.049605544;0.105695531;-0.006191847;0.137728646;-0.143920493;0.091309126;0.134022079;-0.042712953;-2.39675E-05;0.011531526;-0.011555494;0.033059785;0.039642125;-0.006582339;0.861142698;-0.504762555;1.365905254;-0.1774395;-0.753278358;0.575838858;-0.618589172;-0.138772209;-0.049605544;-0.089166665;0;;
29.07.1932;0.133284916;-0.138140033;0.27142495;0.113044196;-0.063622264;0.17666646;0.210123799;-0.008578485;0.218702284;0.010093062;-0.003912409;0.014005471;0.050832821;0.056852717;-0.006019896;1.476257873;-1.184313566;2.660571438;1.996828828;1.650156233;0.346672595;-0.862531764;-0.023983535;-0.180893066;0.156909531;0;;
31.08.1932;0.133695553;-0.122929961;0.256625514;0.302458871;-0.181277647;0.483736518;0.387864427;-0.153179826;0.541044253;0.023832368;-0.014415768;0.038248136;0.060100628;0.066295864;-0.006195236;1.038849516;-0.802660873;1.841510389;-0.084306768;-0.319771719;0.235464951;-0.915133496;0;-0.281585849;0.281585849;0;;
30.09.1932;-0.017592933;0.039253965;-0.056846899;0.285714648;-0.185695518;0.471410166;0.355995877;-0.131528734;0.487524612;0.022766188;-0.014885626;0.037651813;0.060764533;0.065855839;-0.005091306;1.045189144;-0.813805655;1.8589948;-0.125058089;-0.28774015;0.162682061;-0.923251175;-0.017592933;-0.253385245;0.235792312;1;;
31.10.1932;-0.009524617;0.024822112;-0.034346729;0.253484162;-0.120384405;0.373868567;0.284071142;-0.085782683;0.369853824;0.02064387;-0.008544572;0.029188442;0.06146522;0.065697131;-0.004231911;1.118539662;-1.125746884;2.244286546;-0.077521654;0.285531086;-0.36305274;-0.945750463;-0.026949985;-0.23485269;0.207902706;1;;
